"","Group.1","Group.2","OMV.PETROM","BANCA.TRANSILVANIA.CLUJ","BRD.GROUPE.SOCIETE.GL.","ROMGAZ.S.A","SC.FONDUL.PROPRIETATEA","CNTEE.TRANSELECTRICA","ELECTRICA.SA","ROMPETROL.REFINERY","S.N.NUCLEARELECT","S.N.T.G.N.TRANSGAZ","AEROSTAR.BACAU","AGRANA.ROMANIA","ALBALACT","ALRO.SLATINA","ALUM","ALUMIL.ROM.INDUSTRY","AMONIL.SLOBOZIA","ANTIBIOTICE","ARCELORMITTAL.HUNEDOARA","ARGUS","ARMATURA.CLUJ.NAPOCA","ARTECA.JILAVA","ARTEGO","ARTROM.SLATINA","ATHENEE.PALACE","BANCA.COMERCIALA.CARPATICA","BERMAS.SUCEAVA","BIOFARM","BITTNET.SYS","BRAICONF","BTT.BUCURESTI","BUCUR","BUCUR.OBOR","CALIPSO","CARBOCHIM.CLUJ.NAPOCA","CARPATHIA.CAP","CASA.DE.BUCOVINA.CLUB.DE.MUNTE","CHIMCOMPLEX.BORZESTI","CHRONOS.CURIER","CIA.HOTELIERA.ICTL.RO.","COCOR","COMALEX","COMCEREAL","COMCM","COMELF.BISTRITA","COMINCO.BUCURESTI","COMMIXT","COMNORD.BUCURESTI","COMPA.SIBIU","COMPANIA.ENGPT.CAMPINA","COMVEX","CONDMAG","CONECT.BUSINESS.PARK","CONPET.PLOIESTI","CONSTRUCTII.BIHOR","CONSTRUCTII.HIDROTEHNICE","CONTED","DAN.STEEL.GROUP.BECLEAN","DELIVERY.SOL","DOROBANTUL.PLOIESTI","ELECTROAPARATAJ.BUCAREST","ELECTROARGES","ELECTROMAGNETICA","ELECTROPRECIZIA","ELECTROPUTERE.CRAIOVA","FABRICA.DE.SCULE.RASNOV","FARMACEUTICA.REMEDIA","FEPSHARES.ATS","FLAROS","FORAJ.SONDE.CRAIOVA","FORAJ.SONDE.ERNEI","GENERALCOM.BUCURESTI","GRUPUL.INDL.ELECON.","IAR.BRASOV","IMOTRUST","IMPACT.DEVELOPER...CONR.","INDEPENDENTA","INDUA.SARMEI.CAMPIA.TURZII","INTFOR","IOR","IPROEB.BISTRITA","LACTATE.NATURA","LAMINORUL","LIFE.IS.HARD","MECANICA.CEAHLAU","MECHEL.TARGOVISTE.SUSP...25.02.13","MERCUR.CRAIOVA","METALICA.ORADEA","METAV","MOARA.CIBIN","NAPOCHIM","NAPOCHIM.1","OIL.TERMINAL","OLTCHIM.RM.VALCEA","PERLA.COVASNEI","PETROLEXPORTIMPORT","PRACTIC.BUCURESTI","PREBET.AIUD","PREMIA.FINANZ","PRIMCOM.BUCURESTI","PRO.VORBAS","PRODLACTA","PRODPLAST.BUCAREST","PRODVINALCO.CLUJ.NAPOCA","PROSPECTIUNI.BUCURESTI","RAFINARIA.ASTRA","REMARUL.16.FEBRUARIE","RETRASIB","ROLAST.PITESTI","ROMAERO","ROMCAB","ROMPETROL.WELL.SER.","ROPHARMA","SANTIERUL.NAVAL.2.MAI","SC.BURSA.DE.VALORI.BCT.","SC.TRANSILVANIA","SC.VRANCART","SCCA.DE.REPARAT.MRA..RULANT.REVA","SEMROM.MUNTENIA","SEVERNAV","SIF.1.BANAT.CRISANA","SIF.2.MOLDOVA","SIF.3.TRANSILVANIA","SIF.4.MUNTENIA","SIF.5.OLTENIA","SINTEROM","SINTEZA.ORADEA","SINTOFARM","SPIT.BUCOVINA","SSIF.BROKER.CLUJ","STDC.IN.TSBU.","STIROM.BUCURESTI","TERAPLAST","TRANSILVANIA","TURBOMECANICA","TURHOTREST.MAREA.NEAGRA","UAMT.ORADEA","UCM.RESITA","UNIREA.SHOPPING.CENTER","UPET","UZINEXPORT","VULCAN","ZENTIVA","ADIDAS..BSE.","ALLIANZ..BSE.","BAYER..BSE.","BMW..BSE.","CHRISTIAN.DIOR..BSE.","DAIMLER..BSE.","DANONE..BSE.","DEUTSCHE.BANK..BSE.","DEUTSCHE.TELEKOM..BSE.","EON..BSE.","ERSTE.BK.DER.OSTER..BSE.","HEINEKEN..BSE.","LOREAL..BSE.","OMV..BSE.","SAP..BSE.","SIEMENS..BSE.","SANTIERUL.NAVAL.ORSOVA","ALPHABET.C..BSE."
"74",2,2010,0.15,0.15,0.25,NA,NA,0.05,NA,0.55,NA,0,0.3,0.75,0.05,0.15,1,0.25,0.05,0.3,0.5,0.45,0.7,0.85,0.75,0.25,0.65,0.2,0.45,0.05,NA,0.6,1,0.45,0.65,0.5,0.85,NA,0.2,0.9,NA,0.65,1,0.95,1,0.75,0.95,0.45,NA,0.25,0.25,1,0.85,0.2,0.9,0.85,1,0.95,0.55,0.75,NA,1,0.65,NA,0.05,0.9,0.65,0.95,0.4,NA,1,0.6,1,0.9,0.15,0.3,0.1,0.4,0.75,0.85,0.85,0.95,0.2,1,0.7,NA,0.6,0.6,0.95,1,0.8,0.8,NA,0.75,0.1,0.1,1,0.75,1,0.4,NA,0.85,NA,0.9,0.15,0.35,0.35,1,0.4,NA,1,0.85,1,0.6,NA,1,NA,0.55,0.15,1,0.6,1,0.1,0.15,0.15,0.1,0.1,0.9,0.75,1,NA,0,0.4,0.8,0.2,NA,0.15,0.5,0.6,0.95,0.8,0.1,0.2,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.4,NA
"75",3,2010,0.0869565217391304,0.0869565217391304,0.217391304347826,NA,NA,0.130434782608696,NA,0.130434782608696,NA,0.0434782608695652,0.260869565217391,0.869565217391304,0.130434782608696,0.0869565217391304,0.91304347826087,0.130434782608696,0.130434782608696,0.434782608695652,0.391304347826087,0.304347826086957,0.130434782608696,0.565217391304348,0.304347826086957,0.0434782608695652,0.652173913043478,0.173913043478261,0.217391304347826,0,NA,0.695652173913043,1,0.260869565217391,0.260869565217391,0.304347826086957,0.695652173913043,NA,0.0869565217391304,0.869565217391304,NA,0.521739130434783,0.956521739130435,1,1,0.695652173913043,0.739130434782609,0.434782608695652,NA,0.0434782608695652,0.0434782608695652,0.956521739130435,0.91304347826087,0.130434782608696,0.91304347826087,0.652173913043478,1,0.956521739130435,0.347826086956522,0.608695652173913,NA,1,0.695652173913043,NA,0.0869565217391304,0.565217391304348,0.304347826086957,0.869565217391304,0.173913043478261,NA,1,0.521739130434783,0.739130434782609,0.695652173913043,0.173913043478261,0.260869565217391,0.0434782608695652,0.0434782608695652,0.782608695652174,0.956521739130435,0.782608695652174,0.782608695652174,0.173913043478261,0.869565217391304,0.695652173913043,NA,0.565217391304348,0.608695652173913,0.608695652173913,1,0.869565217391304,0.608695652173913,NA,0.652173913043478,0.260869565217391,0.173913043478261,0.869565217391304,0.347826086956522,0.782608695652174,0.130434782608696,NA,0.869565217391304,NA,0.869565217391304,0.130434782608696,0.217391304347826,0.0869565217391304,0.826086956521739,0.304347826086957,NA,0.91304347826087,0.826086956521739,0.869565217391304,0.0869565217391304,NA,0.869565217391304,NA,0.347826086956522,0.173913043478261,0.91304347826087,0.478260869565217,1,0.217391304347826,0.347826086956522,0.217391304347826,0.217391304347826,0.260869565217391,0.956521739130435,0.608695652173913,1,NA,0.173913043478261,0.434782608695652,0.695652173913043,0.304347826086957,NA,0.0434782608695652,0.347826086956522,0.565217391304348,0.956521739130435,0.739130434782609,0.217391304347826,0.347826086956522,0.478260869565217,0.565217391304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.260869565217391,NA
"76",4,2010,0.227272727272727,0.454545454545455,0.272727272727273,NA,NA,0.136363636363636,NA,0.136363636363636,NA,0.0909090909090909,0.272727272727273,0.954545454545455,0.272727272727273,0.272727272727273,1,0.136363636363636,0.272727272727273,0.409090909090909,0.454545454545455,0.227272727272727,0.272727272727273,0.772727272727273,0.454545454545455,0.227272727272727,0.727272727272727,0.363636363636364,0.545454545454545,0.227272727272727,NA,0.5,0.727272727272727,0.454545454545455,0.409090909090909,0.818181818181818,0.636363636363636,NA,0.227272727272727,0.818181818181818,NA,0.363636363636364,1,1,0.954545454545455,0.727272727272727,0.818181818181818,0.818181818181818,NA,0.0909090909090909,0.272727272727273,0.909090909090909,0.863636363636364,0.363636363636364,1,0.454545454545455,1,0.363636363636364,0.272727272727273,0.818181818181818,NA,1,0.272727272727273,NA,0.318181818181818,0.818181818181818,0.409090909090909,0.909090909090909,0.227272727272727,NA,1,0.681818181818182,0.772727272727273,0.454545454545455,0.545454545454545,0.227272727272727,0.227272727272727,0.272727272727273,0.954545454545455,0.818181818181818,0.818181818181818,0.818181818181818,0.181818181818182,1,0.727272727272727,NA,0.545454545454545,0.409090909090909,0.681818181818182,0.909090909090909,0.863636363636364,0.5,NA,0.363636363636364,0.272727272727273,0.181818181818182,1,0.181818181818182,0.681818181818182,0.0909090909090909,NA,1,NA,0.590909090909091,0.409090909090909,0.454545454545455,0.181818181818182,0.909090909090909,0.636363636363636,NA,0.954545454545455,0.909090909090909,0.772727272727273,0.181818181818182,NA,0.636363636363636,NA,0.227272727272727,0.136363636363636,1,0.409090909090909,1,0.181818181818182,0.227272727272727,0.0909090909090909,0.272727272727273,0.227272727272727,0.954545454545455,0.772727272727273,0.954545454545455,NA,0.0909090909090909,0.454545454545455,0.727272727272727,0.409090909090909,NA,0.272727272727273,0.181818181818182,0.727272727272727,0.954545454545455,0.772727272727273,0.272727272727273,0.545454545454545,0.363636363636364,0.409090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,NA,NA,NA,NA,NA,0.181818181818182,NA
"77",5,2010,0.0476190476190476,0.0952380952380952,0.19047619047619,NA,NA,0.19047619047619,NA,0.333333333333333,NA,0.0476190476190476,0.0476190476190476,0.714285714285714,0.0952380952380952,0.0476190476190476,0.952380952380952,0.0476190476190476,0.0476190476190476,0.19047619047619,0.619047619047619,0.19047619047619,0.333333333333333,0.571428571428571,0.523809523809524,0.19047619047619,0.476190476190476,0.142857142857143,0.333333333333333,0.0952380952380952,NA,0.476190476190476,0.952380952380952,0.285714285714286,0.428571428571429,0.666666666666667,0.80952380952381,NA,0.285714285714286,1,NA,0.523809523809524,0.952380952380952,0.952380952380952,0.857142857142857,0.523809523809524,0.904761904761905,0.761904761904762,NA,0.19047619047619,0.0952380952380952,1,0.761904761904762,0.0952380952380952,1,0.428571428571429,1,0.571428571428571,0.523809523809524,0.666666666666667,NA,1,0.666666666666667,NA,0.0476190476190476,0.857142857142857,0.0952380952380952,1,0.19047619047619,NA,0.80952380952381,0.714285714285714,0.952380952380952,0.238095238095238,0.238095238095238,0.285714285714286,0.19047619047619,0.0952380952380952,1,0.619047619047619,0.857142857142857,1,0.285714285714286,0.904761904761905,0.428571428571429,NA,0.523809523809524,0.666666666666667,0.761904761904762,0.952380952380952,0.523809523809524,0.714285714285714,NA,0.285714285714286,0.142857142857143,0.19047619047619,0.952380952380952,0.142857142857143,0.857142857142857,0.428571428571429,NA,0.666666666666667,NA,0.857142857142857,0.19047619047619,0.285714285714286,0.0952380952380952,1,0.380952380952381,NA,1,0.904761904761905,0.523809523809524,0.0952380952380952,NA,0.904761904761905,NA,0.19047619047619,0.0476190476190476,0.904761904761905,0.19047619047619,1,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,0.857142857142857,1,NA,0.0952380952380952,0.476190476190476,0.761904761904762,0.19047619047619,NA,0.19047619047619,0.238095238095238,0.761904761904762,1,0.714285714285714,0.428571428571429,0.380952380952381,0.142857142857143,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0476190476190476,NA,NA,NA,NA,NA,0.19047619047619,NA
"78",6,2010,0,0,0.0454545454545455,NA,NA,0.0909090909090909,NA,0.5,NA,0.0454545454545455,0.0909090909090909,0.772727272727273,0.0909090909090909,0.136363636363636,0.954545454545455,0.0909090909090909,0.0909090909090909,0.0454545454545455,0.454545454545455,0.545454545454545,0.818181818181818,0.772727272727273,0.681818181818182,0.227272727272727,0.863636363636364,0.0909090909090909,0.0909090909090909,0.136363636363636,NA,0.818181818181818,0.954545454545455,0.5,0.590909090909091,0.954545454545455,0.590909090909091,NA,0.227272727272727,1,NA,0.545454545454545,1,0.954545454545455,0.863636363636364,0.681818181818182,0.818181818181818,0.545454545454545,NA,0.136363636363636,0.136363636363636,1,0.863636363636364,0.136363636363636,1,0.590909090909091,1,1,0.136363636363636,0.818181818181818,NA,1,0.863636363636364,NA,0.0909090909090909,0.772727272727273,0.318181818181818,0.954545454545455,0.363636363636364,NA,0.818181818181818,0.772727272727273,1,0.681818181818182,0.454545454545455,0.272727272727273,0.0454545454545455,0.0454545454545455,0.954545454545455,1,1,1,0.136363636363636,0.772727272727273,0.818181818181818,NA,0.681818181818182,0.863636363636364,0.954545454545455,1,0.272727272727273,0.772727272727273,NA,0.863636363636364,0.0454545454545455,0.136363636363636,0.954545454545455,0.272727272727273,0.454545454545455,0.363636363636364,NA,0.863636363636364,NA,0.863636363636364,0.636363636363636,0.681818181818182,0,1,0.636363636363636,NA,0.954545454545455,0.818181818181818,0.818181818181818,0.136363636363636,NA,0.954545454545455,0.0625,0.590909090909091,0.0909090909090909,1,0.454545454545455,1,0.0909090909090909,0,0.136363636363636,0.0454545454545455,0.0909090909090909,1,0.818181818181818,0.909090909090909,NA,0.0909090909090909,0.772727272727273,0.863636363636364,0.5,NA,0.0454545454545455,0.272727272727273,0.863636363636364,1,0.863636363636364,0.545454545454545,0.454545454545455,0.318181818181818,0.363636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.136363636363636,NA
"79",7,2010,0.136363636363636,0.181818181818182,0.318181818181818,NA,NA,0.272727272727273,NA,0.0909090909090909,NA,0.0454545454545455,0.227272727272727,0.818181818181818,0.272727272727273,0.363636363636364,1,0.136363636363636,0.0909090909090909,0.363636363636364,0.727272727272727,0.590909090909091,0.772727272727273,0.727272727272727,0.909090909090909,0.681818181818182,0.909090909090909,0.0454545454545455,0.545454545454545,0.0909090909090909,NA,0.409090909090909,1,0.545454545454545,0.818181818181818,0.909090909090909,1,NA,0.727272727272727,1,NA,0.681818181818182,0.954545454545455,1,0.954545454545455,0.772727272727273,1,0.863636363636364,NA,0.272727272727273,0.227272727272727,0.954545454545455,0.954545454545455,0.181818181818182,1,0.863636363636364,1,0.954545454545455,0.272727272727273,0.954545454545455,NA,1,0.818181818181818,NA,0.0454545454545455,1,0.727272727272727,0.909090909090909,0.681818181818182,NA,1,0.818181818181818,1,0.909090909090909,0.272727272727273,0.681818181818182,0.0454545454545455,0.681818181818182,0.954545454545455,0.863636363636364,1,0.954545454545455,0.227272727272727,1,0.818181818181818,NA,0.909090909090909,0.863636363636364,1,1,0.636363636363636,0.863636363636364,NA,0.909090909090909,0.5,0.181818181818182,0.954545454545455,0.681818181818182,0.545454545454545,0.454545454545455,NA,1,NA,0.863636363636364,0.909090909090909,0.318181818181818,0.0454545454545455,1,0.818181818181818,NA,0.954545454545455,0.954545454545455,0.636363636363636,0.363636363636364,NA,1,0.136363636363636,0.772727272727273,0.318181818181818,1,0.454545454545455,1,0.227272727272727,0,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.863636363636364,0.818181818181818,1,NA,0.0454545454545455,0.590909090909091,0.681818181818182,0.409090909090909,NA,0.272727272727273,0.727272727272727,1,0.954545454545455,0.954545454545455,0.681818181818182,0.863636363636364,0.318181818181818,0.454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,0.318181818181818,NA
"80",8,2010,0.227272727272727,0.136363636363636,0.136363636363636,NA,NA,0.318181818181818,NA,0.0454545454545455,NA,0.0909090909090909,0.363636363636364,0.909090909090909,0.136363636363636,0.318181818181818,1,0.272727272727273,0.227272727272727,0.318181818181818,0.681818181818182,0.681818181818182,0.772727272727273,0.681818181818182,0.863636363636364,0.409090909090909,0.909090909090909,0.136363636363636,0.590909090909091,0.0909090909090909,NA,0.681818181818182,1,0.545454545454545,0.681818181818182,0.863636363636364,0.909090909090909,NA,0.636363636363636,1,NA,0.727272727272727,1,1,1,0.772727272727273,0.909090909090909,0.863636363636364,NA,0.5,0.0909090909090909,1,0.909090909090909,0.272727272727273,1,0.863636363636364,1,0.909090909090909,0.227272727272727,0.954545454545455,NA,1,0.818181818181818,NA,0.0454545454545455,0.909090909090909,0.363636363636364,1,0.318181818181818,NA,0.954545454545455,0.590909090909091,0.909090909090909,0.636363636363636,0.454545454545455,0.409090909090909,0.0909090909090909,1,0.909090909090909,0.727272727272727,1,1,0.227272727272727,0.954545454545455,0.863636363636364,NA,0.863636363636364,0.727272727272727,0.818181818181818,1,0.909090909090909,0.863636363636364,NA,0.954545454545455,0.136363636363636,0.181818181818182,1,0.454545454545455,1,0.318181818181818,NA,0.954545454545455,NA,0.954545454545455,0.772727272727273,0.454545454545455,0.0454545454545455,1,0.954545454545455,NA,1,0.954545454545455,0.772727272727273,0.227272727272727,NA,1,0,0.636363636363636,0.227272727272727,0.954545454545455,0.545454545454545,1,0.136363636363636,0.0909090909090909,0.181818181818182,0.136363636363636,0.136363636363636,1,0.727272727272727,1,NA,0.0454545454545455,0.681818181818182,0.636363636363636,0.318181818181818,NA,0.0454545454545455,0.636363636363636,0.954545454545455,0.954545454545455,0.909090909090909,0.636363636363636,0.772727272727273,0.590909090909091,0.363636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.636363636363636,NA
"81",9,2010,0.0909090909090909,0.318181818181818,0.318181818181818,NA,NA,0.0909090909090909,NA,0.318181818181818,NA,0.0454545454545455,0.318181818181818,0.954545454545455,0.363636363636364,0.318181818181818,1,0.136363636363636,0.409090909090909,0.181818181818182,0.681818181818182,0.181818181818182,0.818181818181818,0.863636363636364,0.727272727272727,0.5,0.954545454545455,0.0909090909090909,0.545454545454545,0.181818181818182,NA,0.727272727272727,1,0.5,0.727272727272727,0.727272727272727,0.954545454545455,NA,0.409090909090909,1,NA,0.409090909090909,0.909090909090909,0.727272727272727,0.636363636363636,0.818181818181818,0.954545454545455,0.818181818181818,NA,0.318181818181818,0.136363636363636,1,0.954545454545455,0.409090909090909,1,0.681818181818182,1,0.863636363636364,0.590909090909091,0.954545454545455,NA,1,0.818181818181818,NA,0.181818181818182,0.636363636363636,0.454545454545455,0.909090909090909,0.545454545454545,NA,0.909090909090909,0.727272727272727,0.863636363636364,0.363636363636364,0.636363636363636,0.636363636363636,0.272727272727273,1,1,0.681818181818182,1,0.954545454545455,0.318181818181818,0.909090909090909,0.772727272727273,NA,0.636363636363636,0.681818181818182,0.954545454545455,0.772727272727273,0.909090909090909,0.818181818181818,NA,0.863636363636364,0.227272727272727,0.181818181818182,1,0.545454545454545,0.863636363636364,0.318181818181818,NA,0.954545454545455,NA,0.954545454545455,0.545454545454545,0.5,0.0909090909090909,1,0.772727272727273,NA,1,0.818181818181818,0.727272727272727,0.5,NA,1,0.227272727272727,0.363636363636364,0.272727272727273,1,0.272727272727273,1,0.227272727272727,0.272727272727273,0.272727272727273,0.181818181818182,0.0909090909090909,0.954545454545455,0.954545454545455,1,NA,0.0454545454545455,0.181818181818182,0.636363636363636,0.545454545454545,NA,0.318181818181818,0.363636363636364,0.818181818181818,0.727272727272727,0.909090909090909,0.863636363636364,0.727272727272727,0.363636363636364,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,0.5,NA
"82",10,2010,0.0476190476190476,0.142857142857143,0.285714285714286,NA,NA,0.380952380952381,NA,0.19047619047619,NA,0.238095238095238,0.19047619047619,0.857142857142857,0.0476190476190476,0.285714285714286,0.952380952380952,0.285714285714286,0.0952380952380952,0.142857142857143,0.761904761904762,0.428571428571429,0.857142857142857,0.761904761904762,0.666666666666667,0.666666666666667,0.80952380952381,0.333333333333333,0.19047619047619,0.19047619047619,NA,0.714285714285714,0.952380952380952,0.333333333333333,0.571428571428571,0.571428571428571,0.523809523809524,NA,0.476190476190476,1,NA,0.523809523809524,1,0.666666666666667,0.857142857142857,0.714285714285714,1,0.904761904761905,NA,0.142857142857143,0.238095238095238,0.904761904761905,0.904761904761905,0.19047619047619,0.952380952380952,0.714285714285714,1,0.571428571428571,0.380952380952381,0.714285714285714,NA,1,0.476190476190476,NA,0.19047619047619,0.428571428571429,0.476190476190476,1,0.285714285714286,NA,1,0.714285714285714,1,0.380952380952381,0.761904761904762,0.476190476190476,0.142857142857143,1,0.952380952380952,0.857142857142857,1,0.761904761904762,0.428571428571429,0.666666666666667,0.857142857142857,NA,0.952380952380952,0.904761904761905,1,0.952380952380952,0.714285714285714,0.714285714285714,NA,0.571428571428571,0,0.0952380952380952,0.952380952380952,0.19047619047619,0.428571428571429,0.238095238095238,NA,1,NA,0.80952380952381,0.523809523809524,0.19047619047619,0.19047619047619,1,0.619047619047619,NA,1,0.80952380952381,0.857142857142857,0.285714285714286,NA,0.952380952380952,0.0476190476190476,0.571428571428571,0.19047619047619,1,0.857142857142857,0.857142857142857,0.333333333333333,0.380952380952381,0.380952380952381,0.333333333333333,0.285714285714286,1,0.904761904761905,0.904761904761905,NA,0.142857142857143,0.571428571428571,0.857142857142857,0.380952380952381,NA,0.238095238095238,0.333333333333333,0.80952380952381,1,0.666666666666667,0.238095238095238,0.714285714285714,0.761904761904762,0.380952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0476190476190476,NA,NA,NA,NA,NA,0.619047619047619,NA
"83",11,2010,0.0909090909090909,0.318181818181818,0.181818181818182,NA,NA,0.227272727272727,NA,0.136363636363636,NA,0.0909090909090909,0.227272727272727,1,0.181818181818182,0.545454545454545,0.909090909090909,0.227272727272727,0.318181818181818,0.272727272727273,0.727272727272727,0.5,0.727272727272727,0.681818181818182,0.636363636363636,0.409090909090909,0.681818181818182,0.363636363636364,0.227272727272727,0.363636363636364,NA,0.863636363636364,0.909090909090909,0.545454545454545,0.681818181818182,0.409090909090909,0.636363636363636,NA,0.727272727272727,1,NA,0.636363636363636,0.727272727272727,1,0.954545454545455,0.772727272727273,1,0.681818181818182,NA,0.181818181818182,0.227272727272727,0.863636363636364,0.954545454545455,0.272727272727273,1,0.863636363636364,1,1,0.227272727272727,0.818181818181818,NA,1,0.363636363636364,0.263157894736842,0.318181818181818,0.772727272727273,0.409090909090909,0.954545454545455,0.409090909090909,NA,0.954545454545455,0.818181818181818,0.772727272727273,0.545454545454545,0.681818181818182,0.727272727272727,0.0454545454545455,0.727272727272727,1,0.954545454545455,1,0.954545454545455,0.363636363636364,0.818181818181818,0.727272727272727,NA,0.727272727272727,0.954545454545455,0.727272727272727,0.909090909090909,0.909090909090909,0.909090909090909,NA,0.409090909090909,0.181818181818182,0.0454545454545455,0.954545454545455,0.727272727272727,0.454545454545455,0.409090909090909,NA,0.954545454545455,NA,0.5,0.5,0.363636363636364,0.272727272727273,1,0.454545454545455,NA,1,0.727272727272727,0.863636363636364,0.318181818181818,0,0.818181818181818,0.227272727272727,0.5,0.136363636363636,1,0.727272727272727,1,0.181818181818182,0.227272727272727,0.363636363636364,0.227272727272727,0.181818181818182,1,0.772727272727273,0.909090909090909,NA,0.136363636363636,0.5,0.818181818181818,0.545454545454545,NA,0.0909090909090909,0.318181818181818,0.863636363636364,0.818181818181818,0.681818181818182,0.863636363636364,0.636363636363636,0.681818181818182,0.363636363636364,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.5,NA
"84",12,2010,0.521739130434783,0.347826086956522,0.130434782608696,NA,NA,0.434782608695652,NA,0.521739130434783,NA,0.173913043478261,0.304347826086957,0.608695652173913,0.347826086956522,0.521739130434783,1,0.347826086956522,0.347826086956522,0.304347826086957,0.91304347826087,0.478260869565217,0.608695652173913,0.869565217391304,0.739130434782609,0.652173913043478,0.782608695652174,0.304347826086957,0.652173913043478,0.347826086956522,NA,0.652173913043478,0.91304347826087,0.608695652173913,0.347826086956522,1,0.869565217391304,NA,0.739130434782609,0.956521739130435,NA,0.565217391304348,0.91304347826087,1,0.869565217391304,0.782608695652174,0.956521739130435,0.521739130434783,NA,0.478260869565217,0.391304347826087,0.91304347826087,0.826086956521739,0.347826086956522,0.91304347826087,0.91304347826087,1,0.695652173913043,0.478260869565217,0.869565217391304,NA,1,0.608695652173913,0.304347826086957,0.347826086956522,0.782608695652174,0.304347826086957,0.91304347826087,0.652173913043478,NA,0.956521739130435,0.956521739130435,0.739130434782609,0.391304347826087,0.608695652173913,0.478260869565217,0.304347826086957,0.304347826086957,1,1,0.91304347826087,1,0.565217391304348,0.956521739130435,0.478260869565217,NA,0.739130434782609,1,0.869565217391304,0.869565217391304,1,0.782608695652174,NA,0.695652173913043,0.217391304347826,0.391304347826087,0.956521739130435,0.652173913043478,0.869565217391304,0.478260869565217,NA,0.91304347826087,NA,0.826086956521739,0.565217391304348,0.565217391304348,0.217391304347826,1,0.608695652173913,NA,1,0.826086956521739,0.869565217391304,0.478260869565217,0.434782608695652,0.956521739130435,0.217391304347826,0.826086956521739,0.304347826086957,0.91304347826087,0.782608695652174,0.956521739130435,0.347826086956522,0.173913043478261,0.304347826086957,0.304347826086957,0.217391304347826,1,0.91304347826087,1,NA,0.217391304347826,0.565217391304348,0.608695652173913,0.652173913043478,NA,0.217391304347826,0.434782608695652,1,0.826086956521739,0.869565217391304,1,0.782608695652174,0.652173913043478,0.434782608695652,NA,NA,NA,NA,NA,0.260869565217391,NA,NA,NA,NA,0.173913043478261,NA,NA,NA,NA,NA,0.565217391304348,NA
"85",1,2011,0.0952380952380952,0.0476190476190476,0.0476190476190476,NA,0.25,0.0476190476190476,NA,0.19047619047619,NA,0.333333333333333,0.333333333333333,0.857142857142857,0.0476190476190476,0.285714285714286,1,0.0952380952380952,0.0952380952380952,0,0.761904761904762,0.476190476190476,0.428571428571429,0.80952380952381,0.761904761904762,0.380952380952381,0.857142857142857,0.0952380952380952,0.380952380952381,0,NA,0.666666666666667,0.952380952380952,0.666666666666667,0.523809523809524,0.857142857142857,0.714285714285714,NA,0.476190476190476,1,NA,0.285714285714286,0.666666666666667,0.714285714285714,1,0.666666666666667,0.952380952380952,0.714285714285714,NA,0.19047619047619,0.142857142857143,0.952380952380952,0.857142857142857,0.142857142857143,0.952380952380952,0.476190476190476,1,0.619047619047619,0.571428571428571,0.904761904761905,NA,1,0.523809523809524,0.380952380952381,0.0476190476190476,0.904761904761905,0.380952380952381,1,0.19047619047619,NA,1,0.952380952380952,0.857142857142857,0.333333333333333,0.571428571428571,0.619047619047619,0.238095238095238,0.19047619047619,1,0.952380952380952,1,0.952380952380952,0.142857142857143,0.952380952380952,0.666666666666667,NA,0.761904761904762,0.857142857142857,0.952380952380952,0.904761904761905,0.952380952380952,0.571428571428571,NA,0.571428571428571,0.0476190476190476,0.142857142857143,0.857142857142857,0.428571428571429,0.666666666666667,0.428571428571429,NA,0.80952380952381,NA,0.952380952380952,0.619047619047619,0.476190476190476,0.19047619047619,1,0.571428571428571,NA,1,0.619047619047619,0.80952380952381,0.0952380952380952,0.333333333333333,1,0.0476190476190476,0.476190476190476,0.285714285714286,1,0.857142857142857,0.952380952380952,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0952380952380952,1,0.80952380952381,1,NA,0,0.857142857142857,0.761904761904762,0.142857142857143,NA,0.142857142857143,0.476190476190476,0.857142857142857,0.761904761904762,1,0.714285714285714,0.619047619047619,0.619047619047619,0,NA,NA,NA,NA,NA,0.142857142857143,NA,NA,NA,NA,0.0952380952380952,NA,NA,NA,NA,NA,0.523809523809524,NA
